category_id,department,parent_category_id,name,normalized_name,url,route_type,depth,is_product_listing,is_collection_page,is_campaign_page,is_navigation_only,first_seen_from,last_verified_at,crawl_status,canonical_category_key,canonical_url,alias_urls,classification_evidence,department_basis,product_card_count_observed,legacy_category_ids,enumeration_complete,discovery_complete
category:99b907c82d0f8281,WOMAN,,Women's Christmas Dresses,women's christmas dresses,https://www.zara.com/us/en/woman-dresses-christmas-l7116.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:99b907c82d0f8281,https://www.zara.com/us/en/woman-dresses-christmas-l7116.html,[],,INFERRED from route unless landing heading verified,,"[""category:99b907c82d0f8281""]",False,False
category:f4705897ce29dd97,WOMAN,,Women's Leather Dresses,women's leather dresses,https://www.zara.com/us/en/woman-dresses-leather-l4061.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:f4705897ce29dd97,https://www.zara.com/us/en/woman-dresses-leather-l4061.html,[],,INFERRED from route unless landing heading verified,,"[""category:f4705897ce29dd97""]",False,False
category:6acb4cecab5bd40b,WOMAN,,Smock Dresses,smock dresses,https://www.zara.com/us/en/woman-dresses-smock-l4483.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:6acb4cecab5bd40b,https://www.zara.com/us/en/woman-dresses-smock-l4483.html,[],,INFERRED from route unless landing heading verified,,"[""category:6acb4cecab5bd40b""]",False,False
category:a2d4d5e4ce72ebdf,WOMAN,,Women's Striped Dresses,women's striped dresses,https://www.zara.com/us/en/woman-dresses-striped-l4748.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:a2d4d5e4ce72ebdf,https://www.zara.com/us/en/woman-dresses-striped-l4748.html,[],,INFERRED from route unless landing heading verified,,"[""category:a2d4d5e4ce72ebdf""]",False,False
category:1c8b54f824e6b590,WOMAN,,Puff Sleeve Dresses,puff sleeve dresses,https://www.zara.com/us/en/woman-dresses-puff-sleeve-l4747.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:1c8b54f824e6b590,https://www.zara.com/us/en/woman-dresses-puff-sleeve-l4747.html,[],,INFERRED from route unless landing heading verified,,"[""category:1c8b54f824e6b590""]",False,False
category:0f885743c37f71b5,WOMAN,,Women's Halter Neck Dresses,women's halter neck dresses,https://www.zara.com/us/en/woman-dresses-halter-neck-l4884.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:0f885743c37f71b5,https://www.zara.com/us/en/woman-dresses-halter-neck-l4884.html,[],,INFERRED from route unless landing heading verified,,"[""category:0f885743c37f71b5""]",False,False
category:e6c8a801356aa473,WOMAN,,Women's V-Neck Dresses,women's v-neck dresses,https://www.zara.com/us/en/woman-dresses-vneck-l4887.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:e6c8a801356aa473,https://www.zara.com/us/en/woman-dresses-vneck-l4887.html,[],,INFERRED from route unless landing heading verified,,"[""category:e6c8a801356aa473""]",False,False
category:e4761a6b53252c81,WOMAN,,Women's Yellow Dresses,women's yellow dresses,https://www.zara.com/us/en/woman-dresses-yellow-l2186.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:e4761a6b53252c81,https://www.zara.com/us/en/woman-dresses-yellow-l2186.html,[],,INFERRED from route unless landing heading verified,,"[""category:e4761a6b53252c81""]",False,False
category:3a6384189dddd9af,WOMAN,,Women's Beige Dresses,women's beige dresses,https://www.zara.com/us/en/woman-dresses-beige-l4885.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:3a6384189dddd9af,https://www.zara.com/us/en/woman-dresses-beige-l4885.html,[],,INFERRED from route unless landing heading verified,,"[""category:3a6384189dddd9af""]",False,False
category:3dc38717debb58d8,WOMAN,,Women's Brown Dresses,women's brown dresses,https://www.zara.com/us/en/woman-dresses-brown-l4886.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:3dc38717debb58d8,https://www.zara.com/us/en/woman-dresses-brown-l4886.html,[],,INFERRED from route unless landing heading verified,,"[""category:3dc38717debb58d8""]",False,False
category:1c40e266ce64744c,WOMAN,,Women's Tie-Dye Dresses,women's tie-dye dresses,https://www.zara.com/us/en/woman-dresses-tie-dye-l4976.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:1c40e266ce64744c,https://www.zara.com/us/en/woman-dresses-tie-dye-l4976.html,[],,INFERRED from route unless landing heading verified,,"[""category:1c40e266ce64744c""]",False,False
category:4854c1f606e69762,WOMAN,,Women's Orange Dresses,women's orange dresses,https://www.zara.com/us/en/woman-dresses-orange-l4977.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:4854c1f606e69762,https://www.zara.com/us/en/woman-dresses-orange-l4977.html,[],,INFERRED from route unless landing heading verified,,"[""category:4854c1f606e69762""]",False,False
category:73f12401e4ca5fa4,WOMAN,,Cotton Dresses for Women,cotton dresses for women,https://www.zara.com/us/en/woman-dresses-cotton-l4625.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:73f12401e4ca5fa4,https://www.zara.com/us/en/woman-dresses-cotton-l4625.html,[],,INFERRED from route unless landing heading verified,,"[""category:73f12401e4ca5fa4""]",False,False
category:6ce35cae5beebbbb,WOMAN,,Women Corset Dresses,women corset dresses,https://www.zara.com/us/en/woman-dresses-corset-l5299.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:6ce35cae5beebbbb,https://www.zara.com/us/en/woman-dresses-corset-l5299.html,[],,INFERRED from route unless landing heading verified,,"[""category:6ce35cae5beebbbb""]",False,False
category:fed448c9654829cf,WOMAN,,Little Black Dresses,little black dresses,https://www.zara.com/us/en/woman-dresses-mini-black-l5300.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:fed448c9654829cf,https://www.zara.com/us/en/woman-dresses-mini-black-l5300.html,[],,INFERRED from route unless landing heading verified,,"[""category:fed448c9654829cf""]",False,False
category:af98b2942298a109,WOMAN,,Woman´s Silk Dresses,woman´s silk dresses,https://www.zara.com/us/en/woman-dresses-silk-l5288.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:af98b2942298a109,https://www.zara.com/us/en/woman-dresses-silk-l5288.html,[],,INFERRED from route unless landing heading verified,,"[""category:af98b2942298a109""]",False,False
